name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noУВСInTooltip,number
Заряд Lamia,A_S-F_lamia_bolt,0,,1000,700,,100,300,4,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,,,10,,,SYSTEM,,,,,,,,,,,,,,,2223.31
Lerna суббоеприпас,A_S-F_lerna_sub,0,,1000,800,,300,900,10,20,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,0,0,8,200,,,SYSTEM,,,,,,,,,,"Попадания суббоеприпасов по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный исходному попаданию.",,,,,2223.41
Заряд Lerna,A_S-F_lerna_bolt,0,,1000,800,,100,300,4,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,,,10,,,SYSTEM,,,,,,,,,,,,,,,2223.42
Contradict ракета (Bomber),A_S-F_contradict_bomber_real,0,,1000,1200,,500,800,15,10,,1,,,FRAGMENTATION,0,,0,5,1,,8,8,0,0,,400,0,4.5,150,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,,,Подавление,Быстрая,Слабое (коррекция курса),,,"При попадании увеличивает мягкий поток цели на %s.
Попадания по корпусу или броне создают %s дуг, каждая наносит %s и %s урона.",600 | 3 | 50 энергетический | 200 ЭМИ,,,TRUE,222102.2
Легкая картечная зенитка,A_S-F_light_canister_flak,0,,1000,200,,100,,10,10,,,,,HIGH_EXPLOSIVE,0,,0,0.1,4,0.5,140,140,0,0,,50,200,2,80,,,SYSTEM,,,,,,,,,,,,,,,22235.5
Залповый ПВО-лазер (Clavata),A_S-F_joro_heavyburst,0,,10000,750,360,,180,4,180,,8,0.6,,ENERGY,,200,0.1,0.1,0.3,0.1,,,,,15000,,,,,,,"SYSTEM, PD, ANTI_FTR, IGNORES_FLARES",,,,,ПВО,,,,,Продвинутые встроенные сенсоры наведения позволяют оружию распознавать ложные ловушки и не стрелять по ним.,ложные ловушки,,,,222222.5
Осколок Sakset,A_S-F_sakset_frag,0,,1000,90,,30,0,5,10,,,,,FRAGMENTATION,0,,0,0.1,1,,0,0,0,0,,450,,,10,,,"SYSTEM, PD",,,,,,,,,,,,,,,2228.35
Зенитная завеса,A_S-F_flak_screen,0,,10000,300,,200,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,5,0.75,100,100,0,0,,50,200,3,150,,,SYSTEM,,,,,,,,,,,,,,,22235.6
Целеуказующий лазер - Silaha,A_S-F_targetinglaser_silaha,0,,1,0,100,,150,8,200,0,,,,ENERGY,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Особое,,,,,,,,,,222020.1
Persis суббоеприпас,A_S-F_persis_sub,0,,10000,1500,,50,,3,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,500,100,3,30,,,SYSTEM,,,,,Рой,Быстрая,Отличное,,,,,,,,222021.1
Heatstroke суб,A_S-F_heatstroke_sub,0,,100000,700,,100,,10,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,350,,,10,,,SYSTEM,,,[Аномальное],,Карательное,,,,,"При попадании по корпусу или броне снаряд застревает и наносит дополнительно %s урона в течение %s секунд. 
Если цель перегружается, застрявшие снаряды воспламеняются, меняя тип урона на %s.",300 осколочный | 8 | фугасный,,,,22200.31
Ракета АУРА,A_S-F_AURA_missile_berz,0,,1000,2400,,120,,5,25,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,300,10,100,,,SYSTEM,,,,,,,,,,,,,,,222011.1
Diadol Plasma артиллерия,A_S-F_diadol,0,,100000,5000,,1500,,0,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,650,,,400,,,SYSTEM,,,,,,,,,,,,,,,2220111
Colap Ion артиллерия,A_S-F_colap,0,,100000,5000,,150,600,0,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,800,,,100,,,SYSTEM,,,,,,,,,,,,,,,2220111.1
Celpek залповая артиллерия,A_S-F_celpek,0,,100000,5500,,180,,0,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,950,,,100,,,SYSTEM,,,,,,,,,,,,,,,2220111.2
Expiation 2-1,A_S-F_expiation_21,0,,100000,700,,1600,,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.1
Expiation 2-2,A_S-F_expiation_22,0,,100000,700,,1700,,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.2
Expiation 2-3,A_S-F_expiation_23,0,,100000,700,,1800,,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.3
Expiation 2-4,A_S-F_expiation_24,0,,100000,700,,1900,,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.4
Expiation 2-5,A_S-F_expiation_25,0,,100000,700,,2000,,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.5
Expiation 3-1,A_S-F_expiation_31,0,,100000,700,,2000,800,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.6
Expiation 3-2,A_S-F_expiation_32,0,,100000,700,,2000,1000,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.7
Expiation 3-3,A_S-F_expiation_33,0,,100000,700,,2000,1200,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.8
Expiation 3-4,A_S-F_expiation_34,0,,100000,700,,2000,1400,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.9
Expiation 3-5,A_S-F_expiation_35,0,,100000,700,,2000,1600,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.10
Expiation 4,A_S-F_expiation_4,0,,100000,700,,3000,1000,0,0,,,,,ENERGY,,,0,1,1,,0,0,0,0,,1200,,,1000,,,SYSTEM,,,,,Ликвидация,,,,,,,,,,222222.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangda Deco,A_S-F_rangda_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Rangda Vector Thruster,A_S-F_rangda_thruster,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Deco L,A_S-F_niteo_deco_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Deco R,A_S-F_niteo_deco_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Vector Thruster,A_S-F_niteo_thruster,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Vector Thruster (Small),A_S-F_niteo_thruster_s,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Deco L,A_S-F_lafiel_deco_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Deco R,A_S-F_lafiel_deco_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Vector Thruster,A_S-F_lafiel_thruster,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Vector Thruster (Small),A_S-F_lafiel_thruster_s,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Flogger Deco,A_S-F_flogger_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
